m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,619,26,43,1,0,13,0,12,12,12,"0,0,0,0","1,-1,1,-1",0,4,0,-2,3,3,5,1,1,0,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,620,24,40,0,0,12,1,12,12,12,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,628,16,28,0,0,8,1,8,8,8,"0,0,0,0","0,0,0,0",0,0,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,629,6,11,1,0,3,0,2,2,2,"0,0,0,0","1,-1,0,0",0,2,0,-1,4,4,5,1,1,0,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,629,105,163,1,1,52,0,52,52,52,"0,1,-1,0","-1,1,-1,1",2,4,-2,2,1,3,1,0,0,2,0,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,633,4,8,1,0,2,0,1,1,1,"-1,1,0,0","1,-1,0,0",2,2,1,-1,4,3,4,0,0,-1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,635,6,11,1,0,3,0,2,2,2,"1,-1,0,0","-1,0,1,0",2,2,-1,3,4,5,2,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,637,4,8,1,0,2,0,1,1,1,"1,-1,0,0","-1,1,0,0",2,2,-1,1,3,4,3,0,0,1,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,649,462,682,1,0,231,0,230,230,230,"2,-5,5,-2","-4,7,-6,3",14,20,2,1,5,3,2,0,0,-2,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,660,52,79,0,0,26,1,26,26,26,"0,0,0,0","-1,2,-2,1",0,6,0,0,0,0,0,1,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,660,128,192,0,0,64,1,64,64,64,"-2,4,-4,2","0,0,0,0",12,0,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,660,448,660,0,0,224,1,224,224,224,"3,-6,6,-3","-4,8,-8,4",18,24,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,661,6,11,1,0,3,0,2,2,2,"0,0,0,0","1,-1,0,0",0,2,0,-1,4,4,5,1,1,0,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,661,128,192,1,0,64,0,63,63,63,"-2,4,-4,2","0,0,0,0",12,0,0,0,1,1,1,0,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
